COD_MUN4.x;Departamento;Municipio;Hogares Pobres;Total Hogares;Incidencia;Incidencia 2;Cambio Incidencia;Brecha;Brecha 2;Cambio Brecha;Severidad;Severidad;Cambio Severidad
101;AHUACHAPAN;AHUACHAPAN;13481;33900;0.397669617;0.409852507;3.06;0.378402195;0.377874083;-0.14;0.143188221;0.142788823;-0.28
103;AHUACHAPAN;ATIQUIZAYA;3260;10914;0.298698919;0.315832875;5.74;0.334687641;0.331315247;-1.01;0.112015817;0.109769793;-2.01
107;AHUACHAPAN;JUJUTLA;3357;8352;0.401939655;0.429597701;6.88;0.43235878;0.43746355;1.18;0.186934115;0.191374357;2.38
108;AHUACHAPAN;SAN FRANCISCO MENENDEZ;4738;12390;0.382405165;0.432041969;12.98;0.403076607;0.415185372;3.00;0.162470751;0.172378893;6.10
201;SANTA ANA;CANDELARIA DE LA FRONTERA;2384;7347;0.324486185;0.333197223;2.68;0.363389334;0.357962332;-1.49;0.132051808;0.128137031;-2.96
202;SANTA ANA;COATEPEQUE;3854;11128;0.346333573;0.358824587;3.61;0.411145267;0.425417978;3.47;0.16904043;0.180980456;7.06
203;SANTA ANA;CHALCHUAPA;5823;23717;0.245520091;0.264367331;7.68;0.334543551;0.343178137;2.58;0.111919387;0.117771234;5.23
207;SANTA ANA;METAPAN;5305;20569;0.257912392;0.306237542;18.74;0.362792974;0.382550028;5.45;0.131618742;0.146344524;11.19
210;SANTA ANA;SANTA ANA;22128;77594;0.285176689;0.292651494;2.62;0.356633544;0.371936795;4.29;0.127187485;0.138336979;8.77
301;SONSONATE;ACAJUTLA;5017;17810;0.281695677;0.309882089;10.01;0.383133614;0.37906114;-1.06;0.146791366;0.143687348;-2.11
306;SONSONATE;IZALCO;4946;22348;0.221317344;0.256488276;15.89;0.357383207;0.338214398;-5.36;0.127722756;0.114388979;-10.44
308;SONSONATE;NAHUIZALCO;4552;13705;0.332141554;0.332141554;0.00;0.363448528;0.363988566;0.15;0.132094833;0.132487676;0.30
311;SONSONATE;SAN ANTONIO DEL MONTE;2694;8495;0.317127722;0.330782813;4.31;0.34512436;0.348484429;0.97;0.119110824;0.121441397;1.96
315;SONSONATE;SONSONATE;5471;23055;0.237302104;0.264411191;11.42;0.336560299;0.328984104;-2.25;0.113272835;0.10823054;-4.45
407;CHALATENANGO;CHALATENANGO;1831;8545;0.214277355;0.235927443;10.10;0.351661707;0.348516458;-0.89;0.123665956;0.121463721;-1.78
501;LA LIBERTAD;ANTIGUO CUSCATLAN;395;11007;0.035886254;0.035886254;0.00;0.204109894;0.204112028;0.00;0.041660849;0.04166172;0.00
502;LA LIBERTAD;CIUDAD ARCE;5839;22101;0.26419619;0.279263382;5.70;0.342614722;0.352270453;2.82;0.117384848;0.124094472;5.72
503;LA LIBERTAD;COLON;6555;32177;0.203716941;0.226248563;11.06;0.345612339;0.330219716;-4.45;0.119447889;0.109045061;-8.71
509;LA LIBERTAD;LA LIBERTAD;3755;13177;0.284966229;0.326402064;14.54;0.331570744;0.31778175;-4.16;0.109939159;0.10098524;-8.14
511;LA LIBERTAD;SANTA TECLA;4886;38974;0.125365628;0.130343306;3.97;0.299887237;0.295771027;-1.37;0.089932355;0.0874805;-2.73
512;LA LIBERTAD;QUEZALTEPEQUE;4305;18549;0.232087983;0.242007655;4.27;0.303869409;0.31611707;4.03;0.092336618;0.099930002;8.22
515;LA LIBERTAD;SAN JUAN OPICO;7990;28160;0.283735795;0.283735795;0.00;0.369253039;0.371624033;0.64;0.136347807;0.138104422;1.29
602;SAN SALVADOR;APOPA;13809;43720;0.315850869;0.319304666;1.09;0.398346903;0.39913392;0.20;0.158680255;0.159307886;0.40
603;SAN SALVADOR;AYUTUXTEPEQUE;1773;11389;0.15567653;0.165686188;6.43;0.284928579;0.280448135;-1.57;0.081184295;0.078651156;-3.12
604;SAN SALVADOR;CUSCATANCINGO;4165;22140;0.188121048;0.19263776;2.40;0.247408514;0.262067391;5.92;0.061210973;0.068679317;12.20
607;SAN SALVADOR;ILOPANGO;6863;35045;0.195833928;0.204422885;4.39;0.27985246;0.287843578;2.86;0.078317399;0.082853925;5.79
608;SAN SALVADOR;MEJICANOS;7668;48314;0.158711761;0.158711761;0.00;0.250534116;0.254571596;1.61;0.062767343;0.064806697;3.25
609;SAN SALVADOR;NEJAPA;2204;10391;0.212106631;0.224040035;5.63;0.354156381;0.361028767;1.94;0.125426743;0.130341771;3.92
610;SAN SALVADOR;PANCHIMALCO;3356;11956;0.280695885;0.285714286;1.79;0.342339542;0.345121227;0.81;0.117196362;0.119108661;1.63
612;SAN SALVADOR;SAN MARCOS;3828;20456;0.187133359;0.190897536;2.01;0.264631984;0.276430931;4.46;0.070030087;0.076414059;9.12
613;SAN SALVADOR;SAN MARTIN;7281;24329;0.299272473;0.312343294;4.37;0.299421691;0.316351308;5.65;0.089653349;0.10007815;11.63
614;SAN SALVADOR;SAN SALVADOR;11195;105962;0.105651082;0.127876031;21.04;0.251879676;0.243590509;-3.29;0.063443371;0.059336336;-6.47
616;SAN SALVADOR;SANTO TOMAS;2145;8693;0.246750259;0.256988381;4.15;0.284420172;0.287402906;1.05;0.080894834;0.08260043;2.11
617;SAN SALVADOR;SOYAPANGO;14943;82920;0.180209841;0.194163049;7.74;0.291178319;0.278310586;-4.42;0.084784813;0.077456782;-8.64
618;SAN SALVADOR;TONACATEPEQUE;6620;33326;0.198643702;0.219738342;10.62;0.2827169;0.271821908;-3.85;0.079928846;0.07388715;-7.56
619;SAN SALVADOR;CIUDAD DELGADO;8465;40237;0.210378507;0.211720556;0.64;0.276482616;0.288922048;4.50;0.076442637;0.08347595;9.20
702;CUSCATLAN;COJUTEPEQUE;3457;14148;0.244345491;0.269225332;10.18;0.315233008;0.315114709;-0.04;0.099371849;0.09929728;-0.08
805;LA PAZ;OLOCUILTA;2735;9366;0.292013666;0.295964126;1.35;0.31686157;0.331325858;4.56;0.100401254;0.109776824;9.34
819;LA PAZ;SANTIAGO NONUALCO;2675;12775;0.209393346;0.234990215;12.22;0.33078585;0.329815477;-0.29;0.109419279;0.108778249;-0.59
821;LA PAZ;ZACATECOLUCA;5816;22954;0.253376318;0.282216607;11.38;0.342356398;0.349302239;2.03;0.117207903;0.122012054;4.10
903;CABAÑAS;ILOBASCO;5846;16958;0.344734049;0.379879703;10.20;0.389535199;0.406362373;4.32;0.151737671;0.165130378;8.83
906;CABAÑAS;SENSUNTEPEQUE;3938;11924;0.330258303;0.380576988;15.24;0.419066517;0.43290804;3.30;0.175616745;0.187409371;6.71
1010;SAN VICENTE;SAN VICENTE;5291;16917;0.31276231;0.338653426;8.28;0.382421047;0.367945505;-3.79;0.146245857;0.135383895;-7.43
1108;USULUTAN;JIQUILISCO;4452;15453;0.288099398;0.329774154;14.47;0.368999166;0.372047141;0.83;0.136160384;0.138419075;1.66
1123;USULUTAN;USULUTAN;4410;21628;0.203902349;0.242972073;19.16;0.345406908;0.335131714;-2.97;0.119305932;0.112313266;-5.86
1202;SAN MIGUEL;CIUDAD BARRIOS;3040;7290;0.417009602;0.465294925;11.58;0.4197888;0.446091938;6.27;0.176222637;0.198998017;12.92
1217;SAN MIGUEL;SAN MIGUEL;12372;70281;0.176036198;0.216957641;23.25;0.35867986;0.380766676;6.16;0.128651242;0.144983262;12.69
1319;MORAZAN;SAN FRANCISCO GOTERA;1608;6826;0.23556988;0.255200703;8.33;0.345468671;0.358006247;3.63;0.119348603;0.128168473;7.39
1404;LA UNION;CONCHAGUA;2917;11419;0.255451441;0.307294859;20.29;0.336980065;0.349446923;3.70;0.113555565;0.122113152;7.54
1408;LA UNION;LA UNION;2428;10029;0.242097916;0.283178782;16.97;0.340656492;0.358148644;5.13;0.116046846;0.128270451;10.53
