Departamento;Cod_Dep;Municipio;Cod_Mun;COD_MUN4;Muni_Autore;Muni;codigo
AHUACHAPAN;01;AHUACHAPAN;01;0101;1;Ahuachapán;101
AHUACHAPAN;01;ATIQUIZAYA;03;0103;1;Atiquizaya;103
AHUACHAPAN;01;JUJUTLA;07;0107;1;Jujutla;107
AHUACHAPAN;01;SAN FRANCISCO MENENDEZ;08;0108;1;San Francisco Menéndez;108
CABAÑAS;09;ILOBASCO;03;0903;1;Ilobasco;903
CABAÑAS;09;SENSUNTEPEQUE;06;0906;1;Sensuntepeque;906
CHALATENANGO;04;CHALATENANGO;07;0407;1;Chalatenango;407
CUSCATLAN;07;COJUTEPEQUE;02;0702;1;Cojutepeque;702
LA LIBERTAD;05;ANTIGUO CUSCATLAN;01;0501;1;Antiguo Cuscatlán;501
LA LIBERTAD;05;CIUDAD ARCE;02;0502;1;Ciudad Arce;502
LA LIBERTAD;05;COLON;03;0503;1;Colón;503
LA LIBERTAD;05;LA LIBERTAD;09;0509;1;La Libertad;509
LA LIBERTAD;05;QUEZALTEPEQUE;12;0512;1;Quezaltepeque;512
LA LIBERTAD;05;SAN JUAN OPICO;15;0515;1;San Juan Opico;515
LA LIBERTAD;05;SANTA TECLA;11;0511;1;Santa Tecla;511
LA PAZ;08;OLOCUILTA;05;0805;1;Olocuilta;805
LA PAZ;08;SANTIAGO NONUALCO;19;0819;1;Santiago Nonualco;819
LA PAZ;08;ZACATECOLUCA;21;0821;1;Zacatecoluca;821
LA UNION;14;CONCHAGUA;04;1404;1;Conchagua;1404
LA UNION;14;LA UNION;08;1408;1;La Unión;1408
MORAZAN;13;SAN FRANCISCO GOTERA;19;1319;1;San Francisco Gotera;1319
SAN MIGUEL;12;CIUDAD BARRIOS;02;1202;1;Ciudad Barrios;1202
SAN MIGUEL;12;SAN MIGUEL;17;1217;1;San Miguel;1217
SAN SALVADOR;06;APOPA;02;0602;1;Apopa;602
SAN SALVADOR;06;AYUTUXTEPEQUE;03;0603;1;Ayutuxtepeque;603
SAN SALVADOR;06;CIUDAD DELGADO;19;0619;1;Ciudad Delgado;619
SAN SALVADOR;06;CUSCATANCINGO;04;0604;1;Cuscatancingo;604
SAN SALVADOR;06;ILOPANGO;07;0607;1;Ilopango;607
SAN SALVADOR;06;MEJICANOS;08;0608;1;Mejicanos;608
SAN SALVADOR;06;NEJAPA;09;0609;1;Nejapa;609
SAN SALVADOR;06;PANCHIMALCO;10;0610;1;Panchimalco;610
SAN SALVADOR;06;SAN MARCOS;12;0612;1;San Marcos;612
SAN SALVADOR;06;SAN MARTIN;13;0613;1;San Martín;613
SAN SALVADOR;06;SAN SALVADOR;14;0614;1;San Salvador;614
SAN SALVADOR;06;SANTO TOMAS;16;0616;1;Santo Tomás;616
SAN SALVADOR;06;SOYAPANGO;17;0617;1;Soyapango;617
SAN SALVADOR;06;TONACATEPEQUE;18;0618;1;Tonacatepeque;618
SAN VICENTE;10;SAN VICENTE;10;1010;1;San Vicente;1010
SANTA ANA;02;CANDELARIA DE LA FRONTERA;01;0201;1;Candelaria de la Frontera;201
SANTA ANA;02;CHALCHUAPA;03;0203;1;Chalchuapa;203
SANTA ANA;02;COATEPEQUE;02;0202;1;Coatepeque;202
SANTA ANA;02;METAPAN;07;0207;1;Metapán;207
SANTA ANA;02;SANTA ANA;10;0210;1;Santa Ana;210
SONSONATE;03;ACAJUTLA;01;0301;1;Acajutla;301
SONSONATE;03;IZALCO;06;0306;1;Izalco;306
SONSONATE;03;NAHUIZALCO;08;0308;1;Nahuizalco;308
SONSONATE;03;SAN ANTONIO DEL MONTE;11;0311;1;San Antonio del Monte;311
SONSONATE;03;SONSONATE;15;0315;1;Sonsonate;315
USULUTAN;11;JIQUILISCO;08;1108;1;Jiquilisco;1108
USULUTAN;11;USULUTAN;23;1123;1;Usulután;1123
