"id","date","deaths","confirmed","tests","recovered","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","stringency_index","mkt_close","mkt_volume","country","state","city","lat","lng","pop","pop_female","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate","hosp_beds","smoking_male","smoking_female","gdp","health_exp","health_exp_oop"
"USA, Alabama, Autauga",2020-05-06,3,58,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Autauga",32.53952745,-86.64408227,55869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Baldwin",2020-05-06,5,196,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Baldwin",30.72774991,-87.72207058,223234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Barbour",2020-05-06,1,47,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Barbour",31.868263,-85.3871286,24686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Bibb",2020-05-06,0,43,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Bibb",32.99642064,-87.1251146,22394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Blount",2020-05-06,0,42,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Blount",33.98210918,-86.56790593,57826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Bullock",2020-05-06,1,18,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Bullock",32.10030533,-85.71265535,10101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Butler",2020-05-06,2,130,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Butler",31.75300095,-86.68057478,19448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Calhoun",2020-05-06,3,114,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Calhoun",33.77483727,-85.82630386,113605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Chambers",2020-05-06,22,306,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Chambers",32.91360079,-85.39072749,33254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Cherokee",2020-05-06,0,18,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Cherokee",34.17805983,-85.60638968,26196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Chilton",2020-05-06,1,61,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Chilton",32.85044126,-86.7173256,44428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Choctaw",2020-05-06,0,54,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Choctaw",32.02227341,-88.2656443,12589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Clarke",2020-05-06,1,45,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Clarke",31.68099859,-87.83548597,23622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Clay",2020-05-06,1,25,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Clay",33.26984193,-85.85836077,13235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Cleburne",2020-05-06,1,13,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Cleburne",33.67679204,-85.52005899,14910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Coffee",2020-05-06,0,138,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Coffee",31.39932826,-85.98901039,52342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USA, Alabama, Colbert",2020-05-06,2,44,0,0,0,0,0,3,3,2,4,1,2,2,3,2,3,1,68.41,0,0,"United States","Alabama","Colbert",34.69847452,-87.80168544,55241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
