COD_MUN4.x;Departamento.x;Municipio;Pobreza.x;Hogares.x;Porcentaje.x;COD_MUN4.y;Departamento.y;Pobreza.y;Hogares.y;Porcentaje.y;COD_MUN4;Departamento.x.x;Pobreza;Hogares.x.x;Porcentaje.x.x;Departamento.y.y;brecha;Hogares.y.y;Porcentaje.y.y;Departamento;severidad;Hogares;Porcentaje
101;AHUACHAPAN;AHUACHAPAN;1;4195;0.224378586;101;AHUACHAPAN;2;9286;0.496681657;101;AHUACHAPAN;3;20419;1.092154077;AHUACHAPAN;0.378402195;16593;0.887512249;AHUACHAPAN;0.143188221;16593;0.887512249
103;AHUACHAPAN;ATIQUIZAYA;1;651;0.034820133;103;AHUACHAPAN;2;2609;0.139547969;103;AHUACHAPAN;3;7654;0.409390632;AHUACHAPAN;0.334687641;4028;0.215446233;AHUACHAPAN;0.112015817;4028;0.215446233
107;AHUACHAPAN;JUJUTLA;1;1058;0.056589403;107;AHUACHAPAN;2;2299;0.122966954;107;AHUACHAPAN;3;4995;0.267168305;AHUACHAPAN;0.43235878;4740;0.253529082;AHUACHAPAN;0.186934115;4740;0.253529082
108;AHUACHAPAN;SAN FRANCISCO MENENDEZ;1;1280;0.06846355;108;AHUACHAPAN;2;3458;0.184958558;108;AHUACHAPAN;3;7652;0.409283657;AHUACHAPAN;0.403076607;6860;0.366921836;AHUACHAPAN;0.162470751;6860;0.366921836
201;SANTA ANA;CANDELARIA DE LA FRONTERA;1;374;0.020004193;201;SANTA ANA;2;2010;0.107509168;201;SANTA ANA;3;4963;0.265456716;SANTA ANA;0.363389334;3140;0.167949645;SANTA ANA;0.132051808;3140;0.167949645
202;SANTA ANA;COATEPEQUE;1;912;0.048780279;202;SANTA ANA;2;2942;0.15735919;202;SANTA ANA;3;7274;0.389065515;SANTA ANA;0.411145267;5183;0.277223889;SANTA ANA;0.16904043;5183;0.277223889
203;SANTA ANA;CHALCHUAPA;1;1273;0.06808914;203;SANTA ANA;2;4550;0.243366524;203;SANTA ANA;3;17894;0.957099028;SANTA ANA;0.334543551;8240;0.4407341;SANTA ANA;0.111919387;8240;0.4407341
207;SANTA ANA;METAPAN;1;1114;0.059584683;207;SANTA ANA;2;4191;0.224164638;207;SANTA ANA;3;15264;0.816427829;SANTA ANA;0.362792974;8549;0.457261629;SANTA ANA;0.131618742;8549;0.457261629
210;SANTA ANA;SANTA ANA;1;2267;0.121255365;210;SANTA ANA;2;19861;1.062308249;210;SANTA ANA;3;55466;2.966718157;SANTA ANA;0.356633544;24520;1.311504872;SANTA ANA;0.127187485;24520;1.311504872
301;SONSONATE;ACAJUTLA;1;1374;0.073491342;301;SONSONATE;2;3643;0.194853681;301;SONSONATE;3;12793;0.684261086;SONSONATE;0.383133614;7000;0.374410037;SONSONATE;0.146791366;7000;0.374410037
306;SONSONATE;IZALCO;1;1217;0.065093859;306;SONSONATE;2;3729;0.199453575;306;SONSONATE;3;17402;0.930783351;SONSONATE;0.357383207;6800;0.363712607;SONSONATE;0.127722756;6800;0.363712607
308;SONSONATE;NAHUIZALCO;1;1497;0.080070261;308;SONSONATE;2;3055;0.163403237;308;SONSONATE;3;9153;0.489567867;SONSONATE;0.363448528;5891;0.31509279;SONSONATE;0.132094833;5891;0.31509279
311;SONSONATE;SAN ANTONIO DEL MONTE;1;862;0.046105922;311;SONSONATE;2;1832;0.097988455;311;SONSONATE;3;5801;0.310278946;SONSONATE;0.34512436;3202;0.171265848;SONSONATE;0.119110824;3202;0.171265848
315;SONSONATE;SONSONATE;1;925;0.049475612;315;SONSONATE;2;4546;0.243152575;315;SONSONATE;3;17584;0.940518012;SONSONATE;0.336560299;7582;0.405539557;SONSONATE;0.113272835;7582;0.405539557
407;CHALATENANGO;CHALATENANGO;1;370;0.019790245;407;CHALATENANGO;2;1461;0.078144723;407;CHALATENANGO;3;6714;0.359112712;CHALATENANGO;0.351661707;2696;0.144201351;CHALATENANGO;0.123665956;2696;0.144201351
501;LA LIBERTAD;ANTIGUO CUSCATLAN;1;31;0.001658102;501;LA LIBERTAD;2;364;0.019469322;501;LA LIBERTAD;3;10612;0.567605616;LA LIBERTAD;0.204109894;395;0.021127424;LA LIBERTAD;0.041660849;395;0.021127424
502;LA LIBERTAD;CIUDAD ARCE;1;1451;0.077609852;502;LA LIBERTAD;2;4388;0.234701606;502;LA LIBERTAD;3;16262;0.869808003;LA LIBERTAD;0.342614722;7578;0.405325608;LA LIBERTAD;0.117384848;7578;0.405325608
503;LA LIBERTAD;COLON;1;1204;0.064398526;503;LA LIBERTAD;2;5351;0.28620973;503;LA LIBERTAD;3;25622;1.370447709;LA LIBERTAD;0.345612339;7154;0.382647058;LA LIBERTAD;0.119447889;7154;0.382647058
509;LA LIBERTAD;LA LIBERTAD;1;762;0.040757207;509;LA LIBERTAD;2;2993;0.160087034;509;LA LIBERTAD;3;9422;0.503955909;LA LIBERTAD;0.331570744;4990;0.266900869;LA LIBERTAD;0.109939159;4990;0.266900869
511;LA LIBERTAD;SANTA TECLA;1;1197;0.064024116;511;LA LIBERTAD;2;3689;0.197314089;511;LA LIBERTAD;3;34088;1.823269905;LA LIBERTAD;0.299887237;6319;0.337985289;LA LIBERTAD;0.089932355;6319;0.337985289
