"COD_MUN4.x","Departamento.x","Municipio","Pobreza.x","Hogares.x","Porcentaje.x","COD_MUN4.y","Departamento.y","Pobreza.y","Hogares.y","Porcentaje.y","COD_MUN4","Departamento","Pobreza","Hogares","Porcentaje"
101,"AHUACHAPAN","AHUACHAPAN",1,4195,0.224378586313281,101,"AHUACHAPAN",2,9286,0.496681657331376,101,"AHUACHAPAN",3,20419,1.09215407721833
103,"AHUACHAPAN","ATIQUIZAYA",1,651,0.0348201334183422,103,"AHUACHAPAN",2,2609,0.139547969413909,103,"AHUACHAPAN",3,7654,0.409390631619035
107,"AHUACHAPAN","JUJUTLA",1,1058,0.0565894026983196,107,"AHUACHAPAN",2,2299,0.122966953500413,107,"AHUACHAPAN",3,4995,0.267168304799723
108,"AHUACHAPAN","SAN FRANCISCO MENENDEZ",1,1280,0.0684635495783073,108,"AHUACHAPAN",2,3458,0.184958558157646,108,"AHUACHAPAN",3,7652,0.409283657322818
201,"SANTA ANA","CANDELARIA DE LA FRONTERA",1,374,0.0200041933924117,201,"SANTA ANA",2,2010,0.107509167697186,201,"SANTA ANA",3,4963,0.265456716060265
202,"SANTA ANA","COATEPEQUE",1,912,0.048780279074544,202,"SANTA ANA",2,2942,0.157359189733891,202,"SANTA ANA",3,7274,0.389065515337975
203,"SANTA ANA","CHALCHUAPA",1,1273,0.0680891395415509,203,"SANTA ANA",2,4550,0.243366523891639,203,"SANTA ANA",3,17894,0.957099028245493
207,"SANTA ANA","METAPAN",1,1114,0.0595846829923706,207,"SANTA ANA",2,4191,0.224164637720848,207,"SANTA ANA",3,15264,0.816427828721315
210,"SANTA ANA","SANTA ANA",1,2267,0.121255364760955,210,"SANTA ANA",2,19861,1.06230824857403,210,"SANTA ANA",3,55466,2.96671815696125
301,"SONSONATE","ACAJUTLA",1,1374,0.0734913415004643,301,"SONSONATE",2,3643,0.194853680557636,301,"SONSONATE",3,12793,0.684261085746317
306,"SONSONATE","IZALCO",1,1217,0.0650938592475,306,"SONSONATE",2,3729,0.199453575294928,306,"SONSONATE",3,17402,0.930783351376331
308,"SONSONATE","NAHUIZALCO",1,1497,0.0800702607177547,308,"SONSONATE",2,3055,0.163403237470101,308,"SONSONATE",3,9153,0.489567866633005
311,"SONSONATE","SAN ANTONIO DEL MONTE",1,862,0.0461059216691413,311,"SONSONATE",2,1832,0.0979884553339524,311,"SONSONATE",3,5801,0.310278946174813
315,"SONSONATE","SONSONATE",1,925,0.0494756119999487,315,"SONSONATE",2,4546,0.243152575299207,315,"SONSONATE",3,17584,0.940518012331997
407,"CHALATENANGO","CHALATENANGO",1,370,0.0197902447999795,407,"CHALATENANGO",2,1461,0.0781447233858649,407,"CHALATENANGO",3,6714,0.359112712397465
501,"LA LIBERTAD","ANTIGUO CUSCATLAN",1,31,0.00165810159134963,501,"LA LIBERTAD",2,364,0.0194693219113311,501,"LA LIBERTAD",3,10612,0.567605615722654
502,"LA LIBERTAD","CIUDAD ARCE",1,1451,0.0776098519047843,502,"LA LIBERTAD",2,4388,0.234701605898135,502,"LA LIBERTAD",3,16262,0.869808002533151
503,"LA LIBERTAD","COLON",1,1204,0.0643985263220953,503,"LA LIBERTAD",2,5351,0.286209729526189,503,"LA LIBERTAD",3,25622,1.37044770882452
509,"LA LIBERTAD","LA LIBERTAD",1,762,0.0407572068583361,509,"LA LIBERTAD",2,2993,0.160087034287401,509,"LA LIBERTAD",3,9422,0.503955909474072
511,"LA LIBERTAD","SANTA TECLA",1,1197,0.064024116285339,511,"LA LIBERTAD",2,3689,0.197314089370606,511,"LA LIBERTAD",3,34088,1.8232699047073
512,"LA LIBERTAD","QUEZALTEPEQUE",1,798,0.042682744190226,512,"LA LIBERTAD",2,3507,0.18757942841494,512,"LA LIBERTAD",3,14244,0.761870937651101
515,"LA LIBERTAD","SAN JUAN OPICO",1,2067,0.110557935139345,515,"LA LIBERTAD",2,5923,0.316804378243996,515,"LA LIBERTAD",3,20170,1.07883577733942
602,"SAN SALVADOR","APOPA",1,4368,0.233631862935974,602,"SAN SALVADOR",2,9441,0.504972165288125,602,"SAN SALVADOR",3,29911,1.59985408705996
603,"SAN SALVADOR","AYUTUXTEPEQUE",1,237,0.0126764541016085,603,"SAN SALVADOR",2,1536,0.0821562594939688,603,"SAN SALVADOR",3,9616,0.514332416207034
604,"SAN SALVADOR","CUSCATANCINGO",1,577,0.0308620844583464,604,"SAN SALVADOR",2,3588,0.191911887411693,604,"SAN SALVADOR",3,17975,0.961431487242245
607,"SAN SALVADOR","ILOPANGO",1,1164,0.0622590403977732,607,"SAN SALVADOR",2,5699,0.304823257067792,607,"SAN SALVADOR",3,28182,1.50737480798114
608,"SAN SALVADOR","MEJICANOS",1,1013,0.0541824810334573,608,"SAN SALVADOR",2,6655,0.35595697065909,608,"SAN SALVADOR",3,40646,2.17403862199991
609,"SAN SALVADOR","NEJAPA",1,577,0.0308620844583464,609,"SAN SALVADOR",2,1627,0.0870235899718016,609,"SAN SALVADOR",3,8187,0.437899281560627
610,"SAN SALVADOR","PANCHIMALCO",1,486,0.0259947539805136,610,"SAN SALVADOR",2,2870,0.153508115070111,610,"SAN SALVADOR",3,8600,0.459989473729252
612,"SAN SALVADOR","SAN MARCOS",1,620,0.0331620318269926,612,"SAN SALVADOR",2,3208,0.171586771130633,612,"SAN SALVADOR",3,16628,0.889384298740698
613,"SAN SALVADOR","SAN MARTIN",1,1479,0.0791074920518098,613,"SAN SALVADOR",2,5802,0.310332433322921,613,"SAN SALVADOR",3,17048,0.911848900946081
614,"SAN SALVADOR","SAN SALVADOR",1,555,0.0296853671999692,614,"SAN SALVADOR",2,10640,0.56910325586968,614,"SAN SALVADOR",3,94767,5.06881656475582
616,"SAN SALVADOR","SANTO TOMAS",1,386,0.0206460391697083,616,"SAN SALVADOR",2,1759,0.0940838935220645,616,"SAN SALVADOR",3,6548,0.350233845811528
617,"SAN SALVADOR","SOYAPANGO",1,2225,0.119008904540417,617,"SAN SALVADOR",2,12718,0.680249549638213,617,"SAN SALVADOR",3,67977,3.63589586694109
618,"SAN SALVADOR","TONACATEPEQUE",1,779,0.041666488376173,618,"SAN SALVADOR",2,5841,0.312418432099135,618,"SAN SALVADOR",3,26706,1.42842777737365
619,"SAN SALVADOR","CIUDAD DELGADO",1,909,0.0486198176302198,619,"SAN SALVADOR",2,7556,0.404148891104445,619,"SAN SALVADOR",3,31772,1.69939366968905
702,"CUSCATLAN","COJUTEPEQUE",1,569,0.0304341872734819,702,"CUSCATLAN",2,2888,0.154470883736056,702,"CUSCATLAN",3,10691,0.57183110042319
805,"LA PAZ","OLOCUILTA",1,410,0.0219297307243016,805,"LA PAZ",2,2325,0.124357619351222,805,"LA PAZ",3,6631,0.354673279104497
819,"LA PAZ","SANTIAGO NONUALCO",1,494,0.026422651165378,819,"LA PAZ",2,2181,0.116655470023663,819,"LA PAZ",3,10100,0.540220195891331
821,"LA PAZ","ZACATECOLUCA",1,621,0.0332155189751007,821,"LA PAZ",2,5195,0.277865734421333,821,"LA PAZ",3,17138,0.916662744275805
903,"CABAÑAS","ILOBASCO",1,1316,0.0703890869101972,903,"CABAÑAS",2,4530,0.242296780929478,903,"CABAÑAS",3,11112,0.59434918977668
906,"CABAÑAS","SENSUNTEPEQUE",1,1225,0.0655217564323644,906,"CABAÑAS",2,2713,0.145110632817147,906,"CABAÑAS",3,7986,0.427148364790908
1010,"SAN VICENTE","SAN VICENTE",1,1347,0.0720471885015468,1010,"SAN VICENTE",2,3944,0.210953312138159,1010,"SAN VICENTE",3,11626,0.62184158390422
1108,"USULUTAN","JIQUILISCO",1,1200,0.0641845777296631,1108,"USULUTAN",2,3252,0.173940205647387,1108,"USULUTAN",3,11001,0.588412116336687
1123,"USULUTAN","USULUTAN",1,997,0.0533266866637284,1123,"USULUTAN",2,3413,0.182551636492784,1123,"USULUTAN",3,17218,0.92094171612445
1202,"SAN MIGUEL","CIUDAD BARRIOS",1,878,0.0469617160388702,1202,"SAN MIGUEL",2,2162,0.11563921420961,1202,"SAN MIGUEL",3,4250,0.227320379459224
