"COD_MUN4.x","Departamento.x","Municipio","Pobreza.x","Hogares.x","Porcentaje.x","COD_MUN4.y","Departamento.y","Pobreza.y","Hogares.y","Porcentaje.y","COD_MUN4","Departamento","Pobreza","Hogares","Porcentaje"
101,"AHUACHAPAN","AHUACHAPAN",1,4195,0.224378586313281,101,"AHUACHAPAN",2,9699,0.518771849500002,101,"AHUACHAPAN",3,20006,1.0700638850497
103,"AHUACHAPAN","ATIQUIZAYA",1,697,0.0372805422313127,103,"AHUACHAPAN",2,2750,0.147089657297145,103,"AHUACHAPAN",3,7467,0.399388534922829
107,"AHUACHAPAN","JUJUTLA",1,1164,0.0622590403977732,107,"AHUACHAPAN",2,2424,0.129652847013919,107,"AHUACHAPAN",3,4764,0.254812773586763
108,"AHUACHAPAN","SAN FRANCISCO MENENDEZ",1,1453,0.0777168262010004,108,"AHUACHAPAN",2,3900,0.208599877621405,108,"AHUACHAPAN",3,7037,0.376389061236366
201,"SANTA ANA","CANDELARIA DE LA FRONTERA",1,410,0.0219297307243016,201,"SANTA ANA",2,2038,0.109006807844211,201,"SANTA ANA",3,4899,0.26203353858135
202,"SANTA ANA","COATEPEQUE",1,974,0.0520964822572432,202,"SANTA ANA",2,3019,0.161477700138211,202,"SANTA ANA",3,7135,0.381630801750955
203,"SANTA ANA","CHALCHUAPA",1,1273,0.0680891395415509,203,"SANTA ANA",2,4997,0.267275279095939,203,"SANTA ANA",3,17447,0.933190273041194
207,"SANTA ANA","METAPAN",1,1183,0.0632752962118262,207,"SANTA ANA",2,5116,0.273640249720797,207,"SANTA ANA",3,14270,0.763261603501911
210,"SANTA ANA","SANTA ANA",1,3222,0.172335591204145,210,"SANTA ANA",2,19486,1.04225056803351,210,"SANTA ANA",3,54886,2.93569561105857
301,"SONSONATE","ACAJUTLA",1,1516,0.0810865165318077,301,"SONSONATE",2,4003,0.214109053876535,301,"SONSONATE",3,12291,0.657410537396074
306,"SONSONATE","IZALCO",1,1260,0.0673938066161463,306,"SONSONATE",2,4472,0.239194526339211,306,"SONSONATE",3,16616,0.888742452963402
308,"SONSONATE","NAHUIZALCO",1,1497,0.0800702607177547,308,"SONSONATE",2,3055,0.163403237470101,308,"SONSONATE",3,9153,0.489567866633005
311,"SONSONATE","SAN ANTONIO DEL MONTE",1,894,0.047817510408599,311,"SONSONATE",2,1916,0.102481375775029,311,"SONSONATE",3,5685,0.304074436994279
315,"SONSONATE","SONSONATE",1,925,0.0494756119999487,315,"SONSONATE",2,5171,0.27658204286674,315,"SONSONATE",3,16959,0.907088544764464
407,"CHALATENANGO","CHALATENANGO",1,433,0.0231599351307868,407,"CHALATENANGO",2,1583,0.0846701554550473,407,"CHALATENANGO",3,6529,0.349217589997475
501,"LA LIBERTAD","ANTIGUO CUSCATLAN",1,31,0.00165810159134963,501,"LA LIBERTAD",2,364,0.0194693219113311,501,"LA LIBERTAD",3,10612,0.567605615722654
502,"LA LIBERTAD","CIUDAD ARCE",1,1650,0.0882537943782868,502,"LA LIBERTAD",2,4522,0.241868883744614,502,"LA LIBERTAD",3,15929,0.85199678221317
503,"LA LIBERTAD","COLON",1,1204,0.0643985263220953,503,"LA LIBERTAD",2,6076,0.324987911904528,503,"LA LIBERTAD",3,24897,1.33166952644619
