Estado;Confirmados;Muertes;Poblacion;TasaMuerte
New York;330407;21045;23628065;0.09
New Jersey;135454;8952;8882190;0.1
Massachusetts;75333;4702;6892503;0.07
Illinois;73760;3241;12671821;0.03
California;62512;2585;39512223;0.01
Pennsylvania;54238;3616;12801989;0.03
Michigan;46326;4393;9986857;0.04
Florida;39199;1738;21477737;0.01
Texas;36609;1004;28995881;0
Connecticut;32411;2874;3565287;0.08
Georgia;32106;1377;10617423;0.01
Louisiana;30855;2227;4648794;0.05
Maryland;30485;1560;6045680;0.03
Indiana;23146;1447;6732219;0.02
Ohio;23016;1306;11689100;0.01
Virginia;22342;812;8535519;0.01
Colorado;18801;961;5758736;0.02
Washington;16231;891;7614893;0.01
Tennessee;14441;241;6829174;0
North Carolina;13868;527;10488084;0.01
Iowa;11457;243;3155070;0.01
Rhode Island;10779;399;1059361;0.04
Arizona;10526;517;7278717;0.01
Minnesota;10088;534;5639632;0.01
Wisconsin;9590;384;5822434;0.01
Missouri;9489;449;6626371;0.01
Alabama;9221;375;4903185;0.01
Mississippi;9090;409;2976149;0.01
Nebraska;7190;90;1934408;0
South Carolina;7142;316;5148714;0.01
Kansas;6501;152;2913314;0.01
Kentucky;6129;294;4467673;0.01
Delaware;6111;213;973764;0.02
Utah;5919;61;3205958;0
District of Columbia;5899;304;705749;0.04
Nevada;5884;293;3080156;0.01
New Mexico;4493;172;2096829;0.01
Oklahoma;4424;266;3956971;0.01
Arkansas;3694;88;3017804;0
South Dakota;3144;31;884659;0
Oregon;3068;124;4217737;0
New Hampshire;2843;114;1359711;0.01
Idaho;2178;67;1787065;0
Puerto Rico;2156;107;2933408;0
North Dakota;1425;33;762062;0
Maine;1374;63;1344212;0
West Virginia;1310;51;1792147;0
Vermont;919;53;623989;0.01
Wyoming;635;7;578759;0
Hawaii;629;17;1415872;0
Montana;458;16;1068778;0
Alaska;377;10;731545;0
Guam;151;5;164229;0
Virgin Islands;68;4;107268;0
Northern Mariana Islands;15;2;55144;0
American Samoa;0;0;55641;0
